number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_boost_from_average,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_child_samples,params_num_iterations,params_num_leaves,params_objective,state
24,0.016136527026852924,2023-12-31 21:43:55.587508,2023-12-31 21:44:55.567784,0 days 00:00:59.980276,0.4930052996600365,True,rf,0.9963300485420081,1.0234070983753556,5.475365574453536,0.03535788834724573,7,26,214,155,regression,COMPLETE
25,0.01608592173482805,2023-12-31 21:44:55.569031,2023-12-31 21:49:51.538354,0 days 00:04:55.969323,0.5672760648580193,True,rf,0.8699123409032417,9.979392362020029,2.2071947461640315e-05,0.021369889494444134,7,24,304,112,mape,COMPLETE
26,0.016380468858941358,2023-12-31 21:49:51.539198,2023-12-31 21:52:28.121681,0 days 00:02:36.582483,0.7086853147365711,True,rf,0.9333427497658033,0.010105268966161554,9.341694939266175e-08,0.06879010243535844,7,34,147,208,regression,COMPLETE
27,0.016250612561767356,2023-12-31 21:52:28.122556,2023-12-31 21:53:43.566253,0 days 00:01:15.443697,0.44077252397942257,True,dart,0.8236693550551071,0.001026934106772135,0.0029486510768916693,0.03482468330784878,7,31,103,72,regression,COMPLETE
28,0.01609358372941637,2023-12-31 21:53:43.567233,2023-12-31 21:54:34.652192,0 days 00:00:51.084959,0.6091435430324098,True,rf,0.9654879131522343,2.733176224136925,8.634491912132643e-07,0.09069547767980814,6,50,296,2,regression,COMPLETE
29,0.0160742923887184,2023-12-31 21:54:34.653202,2023-12-31 22:00:02.239680,0 days 00:05:27.586478,0.4926399281543174,True,dart,0.9126903371307336,0.46955243944538777,7.117766683721133e-06,0.009752397649324632,8,23,214,230,mape,COMPLETE
30,0.01624627584191953,2023-12-31 22:00:02.240746,2023-12-31 22:02:43.083078,0 days 00:02:40.842332,0.5542623155653806,True,rf,0.5472410547663767,0.043520850689497334,3.536277092609508e-08,0.02567999294949044,7,7,246,180,regression,COMPLETE
31,0.01607264025061446,2023-12-31 22:02:43.084052,2023-12-31 22:03:13.302642,0 days 00:00:30.218590,0.4405751797843141,True,rf,0.9893315875245017,9.804584264350748,1.2521643005240283e-08,0.04620984936384507,6,93,123,144,regression,COMPLETE
32,0.01607264025061446,2023-12-31 22:03:13.303695,2023-12-31 22:03:44.784593,0 days 00:00:31.480898,0.48623221158150554,True,rf,0.9491135737116478,9.118098317597836,1.4100596196473399e-08,0.04114257377720054,6,29,140,147,regression,COMPLETE
33,0.01608247818045044,2023-12-31 22:03:44.785723,2023-12-31 22:04:18.480832,0 days 00:00:33.695109,0.5002242391992497,True,rf,0.9484102581836079,2.67543472470834,3.443217725063247e-08,0.07217402099034514,6,43,151,160,regression,COMPLETE
